DP,Departamento,2017
5,Antioquia,6613118
8,Atlántico,2517897
11,"Bogotá, D.C.",8080734
13,Bolívar(1)(3),2146696
15,Boyacá,1279955
17,Caldas,991860
18,Caquetá,490056
19,Cauca(1)(3),1404205
20,Cesar,1053475
23,Córdoba (1)(3),1762530
25,Cundinamarca,2762784
27,Chocó(2),510047
41,Huila,1182944
44,La Guajira,1012926
47,Magdalena,1285384
50,Meta,998162
52,Nariño,1787545
54,Norte de Santander,1379533
63,Quindio,571733
66,Risaralda,962529
68,Santander,2080938
70,Sucre,868438
73,Tolima,1416124
76,Valle del Cauca,4708262
81,Arauca,267992
85,Casanare,368989
86,Putumayo,354094
88,Archipiélago de San Andrés,77759
91,Amazonas,77948
94,Guainía,42777
95,Guaviare,114207
97,Vaupés,44500
99,Vichada,75468
